tau0,tauB,kappa,eta,beta,P_wash_frac,gamma_wash,lambda_wash,P_hold_frac,tau_decay_frac,W_on,W_off,P_on_frac,P_off_frac,feasible_any,stable_any,best_controller_name,best_score,best_avg_power,best_tracking_error,best_time_below,stability_mode,pruned,feasible_and_stable
0.1493780311693638,9.168007481336629,15.269000067139697,0.4391549208951244,0.0005941514370230822,0.47785804742348387,0.274825050755067,2.6596726865156075,0.17193589326066935,0.0644632843256503,0.9367707754182641,0.8588195738207838,0.884458963585769,0.7991203590467354,False,True,pulse_1,-0.060676133257555664,0.28001593347773046,0.9771280248842344,1.0,steady,False,False
0.1957465508690246,0.8683337194735217,0.0,0.6598975436984269,0.04870781771121686,0.6906167070844609,0.5952128404133717,1.177107278765382,0.6449441941856106,0.2215508401357936,0.8537467653252246,0.6826892315995667,0.44030000130866015,0.2413853263821471,False,True,pulse_1,-0.04951958377034642,0.28003262376641386,0.9641566410755674,1.0,steady,False,False
0.054238487011465344,1.104105782234604,1.4578276380068362,0.5363054172042216,0.03215848649711901,0.7263741851024408,0.5408566369449512,0.8536226253354757,0.6330479192024469,0.10112031301628012,0.9301370922066708,0.8801370922066708,0.7177252331710434,0.6196225645925837,False,True,pulse_1,-0.07597351086975059,0.2799942145846705,0.9915863779571225,1.0,steady,False,False
0.759380765584078,3.188476498645325,0.9117281792581066,0.4579938777349322,5.375455204110194e-06,0.8120200557035651,0.2832469332501141,1.6844681832431538,0.5647833763418931,0.523297526521916,0.9753545034336771,0.7381286542933628,0.9968210493610149,0.5722182338853169,False,True,const_Pmax,0.19729525972436202,1.0,0.51593316857866,1.0,steady,False,False
2.1293492083552144,11.93448700386314,0.7038497239664138,0.6497365869900578,3.0116020829026896e-06,0.6570454885947988,0.955349428187811,1.538196192900334,0.3314321203640486,0.05566760014191649,1.1839098089316882,0.5515013420650794,0.4246474559829082,0.27224662805345695,False,True,const_08,1.151713839271966,0.7999999999999999,0.30012132241260187,0.054490918180303285,steady,False,False
0.06761310370026549,1.1149099900958157,1.2654970956470115,0.24076838605990886,3.3450821118433238e-06,0.46915306459294964,0.06052845082653613,2.09456917682974,0.18456335199112778,0.12358739442333765,0.957650310871239,0.708304816534574,0.40099642460488033,0.17844925969908831,False,True,pulse_1,-0.07496108057752461,0.2797967106338143,0.9908374500470095,1.0,steady,False,False
2.6576582367215575,0.10065545441387955,2.858414904580671,0.4664753288085103,0.00010636352692258645,0.746406796268609,0.8412037062149564,0.7810456302457501,0.2596187866290244,0.10338260461547948,0.991945360220426,0.8416291788294065,0.5369517252780523,0.33151501943840667,True,True,const_Pmax,3.658028053264443,1.0,2.4833845350405634,0.017723536319409493,steady,False,True
3.6286011971318355,0.12934790315429684,7.94762446385376,0.3203632092459793,1.6695871710427017e-06,0.2967437601469715,0.9188231935306829,0.027779345463370242,0.17240928362737867,0.05491244647987907,0.8442517870248814,0.8100746433141481,0.5449833452434515,0.49844843530147376,True,False,const_Pmax,5.977082064313422,1.0,4.699949621238559,0.02271110440425119,unstable,False,False
0.7574618598254766,9.006917417658471,0.0,0.8826955674738934,0.0008113757362686823,0.3139204402734703,0.772937388135284,2.5664746253717574,0.21527126444020223,0.7840579144121432,0.9817829721194631,0.8017122271666608,0.9907897201705862,0.35307525504743953,False,False,const_Pmax,-2.0578344015021672,1.0,,1.0,unstable,True,False
2.114894442510738,0.5403136268739989,4.7707767319573415,0.37308455618032116,8.820560755915796e-05,0.4223449440544932,0.07810839308036388,0.08950431029909245,0.2752111260146676,0.052933913284679154,0.8661951030327101,0.8625916604254344,0.8248547414101528,0.6170062705201679,True,True,const_Pmax,3.934972172251838,1.0,2.556209563687731,0.023773075191355245,steady,False,True
